attrition,age,travel,department,distance,gender,job_satisf,marital,num_comp,total_exp,yrs_in comp,yrs_in_curr_role,yrs_since_prom,yrs_with_curr_mgr
Yes,41,Travel_Rarely,Sales,1,Female,4,Single,8,8,6,4,0,5
No,49,Travel_Frequently,Research & Development,8,Male,2,Married,1,10,10,7,1,7
No,33,Travel_Frequently,Research & Development,3,Female,3,Married,1,8,8,7,3,0
No,27,Travel_Rarely,Research & Development,2,Male,2,Married,9,6,2,2,2,2
No,32,Travel_Frequently,Research & Development,2,Male,4,Single,0,8,7,7,3,6
No,30,Travel_Rarely,Research & Development,24,Male,3,Divorced,1,1,1,0,0,0
No,36,Travel_Rarely,Research & Development,27,Male,3,Married,6,17,7,7,7,7
No,35,Travel_Rarely,Research & Development,16,Male,2,Married,0,6,5,4,0,3
No,31,Travel_Rarely,Research & Development,26,Male,3,Divorced,1,5,5,2,4,3
No,34,Travel_Rarely,Research & Development,19,Male,4,Divorced,0,3,2,2,1,2
Yes,28,Travel_Rarely,Research & Development,24,Male,3,Single,5,6,4,2,0,3
No,32,Travel_Rarely,Research & Development,5,Male,2,Divorced,0,7,6,2,0,5
No,22,Non-Travel,Research & Development,16,Male,4,Divorced,1,1,1,0,0,0
No,38,Travel_Rarely,Research & Development,2,Male,4,Single,5,6,3,2,1,2
No,24,Non-Travel,Research & Development,11,Female,3,Divorced,0,5,4,2,1,3
No,34,Travel_Rarely,Research & Development,7,Female,2,Single,0,13,12,6,2,11
No,21,Travel_Rarely,Research & Development,15,Male,4,Single,1,0,0,0,0,0
Yes,34,Travel_Rarely,Research & Development,6,Male,1,Single,2,8,4,2,1,3
No,44,Travel_Rarely,Research & Development,7,Female,4,Married,3,24,22,6,5,17
No,33,Travel_Rarely,Research & Development,2,Male,4,Single,4,7,1,1,0,0
No,44,Travel_Rarely,Research & Development,10,Male,4,Married,2,9,4,2,1,3
No,30,Travel_Rarely,Research & Development,9,Male,3,Single,1,10,10,0,1,8
Yes,39,Travel_Rarely,Sales,5,Male,4,Married,3,19,1,0,0,0
Yes,24,Travel_Rarely,Research & Development,1,Male,4,Married,2,6,2,0,2,0
Yes,50,Travel_Rarely,Sales,3,Male,3,Married,1,3,3,2,0,2
No,35,Travel_Rarely,Sales,2,Female,4,Married,1,2,2,2,2,2
No,33,Travel_Frequently,Sales,1,Female,1,Married,2,10,5,3,1,3
No,35,Travel_Rarely,Research & Development,4,Male,4,Divorced,1,1,1,0,0,0
No,27,Travel_Rarely,Research & Development,2,Female,1,Divorced,1,1,1,0,0,0
No,30,Travel_Frequently,Research & Development,1,Female,4,Single,1,12,12,8,3,7
Yes,41,Travel_Rarely,Research & Development,12,Female,3,Married,1,23,22,15,15,8
No,34,Non-Travel,Sales,23,Male,3,Single,0,10,9,5,8,7
No,37,Travel_Rarely,Research & Development,19,Male,2,Married,4,8,1,0,0,0
No,35,Travel_Rarely,Research & Development,8,Male,4,Married,1,1,1,0,0,1
Yes,48,Travel_Rarely,Research & Development,1,Male,3,Single,9,23,1,0,0,0
No,44,Travel_Rarely,Sales,1,Female,1,Divorced,5,9,4,3,1,3
No,35,Non-Travel,Research & Development,11,Male,1,Married,2,10,4,0,2,3
No,26,Travel_Rarely,Sales,23,Female,4,Married,7,5,2,2,0,0
No,33,Travel_Frequently,Research & Development,1,Female,4,Single,1,15,15,14,8,12
No,35,Travel_Frequently,Sales,18,Male,1,Married,1,9,9,8,1,8
No,35,Travel_Rarely,Research & Development,23,Female,1,Married,3,4,2,2,2,2
